,ID,Gormiti_Type,Nature,Deadly,Growth_rate,Attack,Strength,Ray,Ability,Against_Fire,Against_Meka,Against_Lava,Against_Wind,Against_Rock,Gormiti_Land
0,580a08ea-4db6-46ba-b5f1-21f8dfcfa2b0,Fire,Evil,Yes,Slow,Yes,59.0,Omega,stalagmites,-1.0209071956718807,-0.19858087213389042,-2.994943146277639,-1.5968654281352639,-0.16475999082997628,Iceland
1,efdc2c72-834e-44d3-acf1-8b83a6bd0760,Fire,Evil,No,Medium,Yes,40.0,Beta,Dark bullets,-1.6715203653072614,-0.5162036847005858,0.6003846740734331,0.11625699792724387,0.5503721914268038,Windland
2,e3878403-c13b-4f6f-8e87-a1e72ea2e71c,Wind,Evil,Yes,Fast,Yes,52.0,Alpha,Dark bullets,1.3744958339250373,-0.49852227527745396,0.09701401146496536,2.162580287770646,-1.0171950664439808,Iceland
3,1d5c102b-47a9-40fd-80b9-96ab8d7b2b7b,Wind,Evil,No,Medium,No,36.0,Alpha,Meka energy,-0.3409169756630709,-1.7415470347010675,-1.269090835517326,-1.2111370512681647,-2.8400293017412377,Rockland
4,8093fb82-8692-4352-b213-e4d18074fc18,Rock,Good,No,Medium,Yes,58.0,Gamma,whirlwind,1.4721781662479207,-1.313746256492259,-1.6708183832491432,-2.643774214272897,0.9916298536947648,Fireland
5,795a3cff-eec8-4b69-b876-f11c838b1162,Ice,Good,No,Slow,Yes,52.0,Gamma,Dark bullets,1.7005002909416804,0.7466231767086164,-2.020421865731387,-0.2795023695874248,1.598866756390719,Fireland
6,45008b1b-3469-4f4d-84f5-6832721bb1cc,Ice,Good,Yes,Medium,No,35.0,Alpha,whirlwind,0.7559405326016742,0.8193709743252853,-0.4240788174051091,0.47502761035486185,2.8399965232818505,Fireland
7,ed66078f-b8bf-4495-9ad7-d3fa80152dcd,Ice,Good,No,Medium,No,52.0,Omega,Magical light power,1.957504006523584,-5.011452653242482,1.6466429153216753,0.8148090503734449,0.008664386272076108,Iceland
8,b58f68e9-9afc-4ccf-9322-7c6258a5e157,Meka,Evil,Yes,Medium,Yes,50.0,Gamma,Magical light power,1.0010512077680656,-1.6492883440779513,-2.045212779441398,-2.081842408808269,0.6388675141542848,Fireland
9,74354db0-83f7-4944-b0fb-ce392e1b82d8,Aoki,Good,Yes,Fast,No,39.0,Omega,Burning energy,0.9876980065708499,-0.2856637393097996,1.3104739034083872,-1.9322619132308059,-1.5503293665260904,Windland
10,9afe844a-8b13-40fc-889c-40602db51b88,Ice,Evil,Yes,Fast,Yes,58.0,Alpha,whirlwind,-1.0858965639775073,-1.0272890449195162,0.17327860449376242,2.2433776704069714,-1.317528709952466,Iceland
11,6cd4eb8e-1f6a-42bb-965e-a20986b3cf2c,Wind,Evil,No,Slow,Yes,59.0,Beta,Dark bullets,1.5257582515429382,0.670224062053693,-0.9463058086754299,-0.04810564823460084,1.6295493953902418,Fireland
12,46a769e5-3c4c-4b51-bf54-a61239833738,Fearsome Darkens,Good,No,Fast,Yes,42.0,Omega,Magical light power,2.63444674327574,-2.76743512471022,-0.9915318900975036,-3.5741282373913914,-2.0251949287351456,Fireland
13,fd38ae4e-a06b-46f0-8081-70f4de418484,Aoki,Good,No,Fast,No,59.0,Omega,Meka energy,0.20863761526829017,-0.34790456136933756,-1.1330486805752467,-0.15110739020869723,0.6719942267623866,Iceland
14,e74c71d1-ebc6-43a4-b077-9d896a43a55f,Sea,Evil,No,Medium,Yes,63.0,Omega,Dark bullets,2.7075436931371737,-2.820184382962051,0.6689874281183794,0.44159427180553856,-2.3068524069990533,Windland
